apn,address,zoning,zoning_full,area_sqft,width_ft,length_ft
4232-015-039,,MU-1,Mixed Use 1,2499,25.0,100.0
4216-026-030,6338 W SLAUSON AVE,MU-I,Mixed Use Industrial,2550,26.0,100.1
4208-014-006,10824 WASHINGTON BLVD,MU-1,Mixed Use 1,2255,25.1,90.0
4214-004-002,11306 VENICE BLVD,MU-2,Mixed Use 2,1967,24.1,100.4
4213-011-005,11124 WASHINGTON BLVD,MU-1,Mixed Use 1,2752,25.0,110.0
4233-026-015,,MU-1,Mixed Use 1,2499,25.0,100.1
4217-011-005,11262 WASHINGTON BLVD,MU-1,Mixed Use 1,2555,25.1,106.9
4236-028-010,13339 W WASHINGTON BLVD,MU-1,Mixed Use 1,2456,25.1,100.1
4208-014-003,10812 WASHINGTON BLVD,MU-1,Mixed Use 1,2245,25.0,90.0
4215-015-012,,MU-1,Mixed Use 1,1999,25.0,80.4
4236-024-006,13011 W WASHINGTON BLVD,MU-1,Mixed Use 1,2498,25.0,100.0
4236-028-009,13345 W WASHINGTON BLVD,MU-1,Mixed Use 1,2498,25.0,100.0
4236-021-005,12831 W WASHINGTON BLVD,MU-1,Mixed Use 1,2498,25.0,100.0
4220-003-901,,OS,Open Space,1359,27.8,86.4
4231-020-033,12470 W WASHINGTON BLVD,MU-1,Mixed Use 1,2500,25.0,100.7
4213-024-023,4205 SEPULVEDA BLVD,MU-2,Mixed Use 2,2002,25.0,80.6
5065-003-007,6023 WASHINGTON BLVD,MU-1,Mixed Use 1,2998,30.0,100.0
4206-033-031,3751 ROBERTSON BLVD,MU-HD,Mixed Use High,2547,25.0,101.9
4210-002-032,5031 OVERLAND AVE,MU-N,Mixed Use Neighborhood,2667,25.0,107.5
4231-020-035,12466 W WASHINGTON BLVD,MU-1,Mixed Use 1,2500,25.0,100.7
4213-020-006,,MU-2,Mixed Use 2,2544,25.0,101.9
4215-018-013,11231 BRADDOCK DR,R1,Single Family,2559,25.0,103.5
4205-014-015,8522 WASHINGTON BLVD,MU-1,Mixed Use 1,2301,25.8,89.8
5065-003-003,6009 WASHINGTON BLVD,MU-1,Mixed Use 1,2996,30.0,100.0
4230-023-015,,MU-1,Mixed Use 1,2495,25.0,99.8
4214-005-016,3823 ALBRIGHT AVE,R1,Single Family,2879,25.0,115.1
4236-021-002,12837 W WASHINGTON BLVD,MU-1,Mixed Use 1,2492,24.9,100.0
4231-020-034,12468 W WASHINGTON BLVD,MU-1,Mixed Use 1,2500,25.0,100.7
4210-002-033,5029 OVERLAND AVE,MU-N,Mixed Use Neighborhood,2704,25.0,108.9
4236-020-003,,MU-1,Mixed Use 1,2496,25.0,100.0
4213-021-018,3967 SEPULVEDA BLVD,MU-2,Mixed Use 2,2527,25.0,101.3
4207-006-002,9806 WASHINGTON BLVD,MU-DT,Mixed Use Downtown,2427,24.9,102.0
4209-024-006,4208 OVERLAND AVE,MU-N,Mixed Use Neighborhood,2503,25.1,100.0
4235-019-006,,RMD,Medium Density Multi Family,2013,25.0,90.1
4205-017-013,8558 WASHINGTON BLVD,MU-1,Mixed Use 1,2246,25.0,90.1
4236-022-004,,MU-1,Mixed Use 1,2501,25.0,100.0
4206-033-056,3816 WILLAT AVE,MU-HD,Mixed Use High,2238,26.7,92.5
4213-021-016,3973 SEPULVEDA BLVD,MU-2,Mixed Use 2,2524,25.0,101.2
4233-030-013,4083 SAWTELLE BLVD,RLD,Low Density Multi Family,2731,24.9,110.0
4236-022-005,,MU-1,Mixed Use 1,2493,24.9,100.0
4213-024-009,,MU-2,Mixed Use 2,2344,26.1,90.5
4231-004-024,12827 SHORT AVE,R2,Two Family,2506,25.0,100.2
4233-002-006,11467 W WASHINGTON BLVD,MU-1,Mixed Use 1,2499,25.0,100.0
4208-020-018,,MU-1,Mixed Use 1,2306,25.1,95.0
4233-029-025,,MU-1,Mixed Use 1,2500,25.0,100.1
4205-018-002,8582 WASHINGTON BLVD,MU-1,Mixed Use 1,2246,25.0,90.1
4213-022-005,11209 WASHINGTON BLVD,MU-2,Mixed Use 2,2201,29.9,100.0
4205-014-014,8524 WASHINGTON BLVD,MU-1,Mixed Use 1,2187,24.4,90.0
4208-014-010,10834 WASHINGTON BLVD,MU-1,Mixed Use 1,2251,25.1,90.0
4312-027-025,,MU-1,Mixed Use 1,2248,25.0,90.0
4205-017-017,8542 WASHINGTON BLVD,MU-1,Mixed Use 1,2253,25.1,90.0
4205-017-014,8554 WASHINGTON BLVD,MU-1,Mixed Use 1,2253,25.1,90.0
4213-024-018,4217 SEPULVEDA BLVD,MU-2,Mixed Use 2,2009,25.1,80.6
4210-002-028,5041 OVERLAND AVE,MU-N,Mixed Use Neighborhood,2489,25.0,101.7
4215-015-011,4329 SEPULVEDA BLVD,MU-1,Mixed Use 1,1999,25.0,80.4
